"id","nome","descricao","duracao","data"
"201","Estudar Cálculo","Descrição_1","1","2021-12-23"
"202","Estudar Cálculo","Descrição_1","4","2021-12-28"
"203","Estudar Linguagens de Programação","Descrição_2","6","2021-12-20"
"204","Estudar Cálculo","Descrição_1","3","2021-12-04"
"205","Fazer atividades","Descrição_5","5","2021-12-15"
"206","Estudar Economia","Descrição_4","10","2021-12-17"
"207","Estudar Linguagens de Programação","Descrição_2","1","2021-12-29"
"208","Estudar Cálculo","Descrição_1","8","2021-12-19"
"209","Fazer atividades","Descrição_5","5","2021-12-29"
"210","Estudar Cálculo","Descrição_1","2","2021-12-29"
"211","Estudar Cálculo","Descrição_1","9","2021-12-28"
"212","Fazer atividades","Descrição_5","4","2021-12-01"
"213","Fazer atividades","Descrição_5","8","2021-12-19"
"214","Fazer atividades","Descrição_5","8","2021-12-23"
"215","Estudar Economia","Descrição_4","3","2021-12-11"
"216","Estudar Linguagens de Programação","Descrição_2","7","2021-12-22"
"217","Estudar Linguagens de Programação","Descrição_2","8","2021-12-05"
"218","Praticar exercícios físicos","Descrição_3","2","2021-12-28"
"219","Fazer atividades","Descrição_5","7","2021-12-26"
"220","Estudar Cálculo","Descrição_1","9","2021-12-01"
"221","Estudar Linguagens de Programação","Descrição_2","7","2021-12-22"
"222","Estudar Economia","Descrição_4","2","2021-12-02"
"223","Fazer atividades","Descrição_5","4","2021-12-17"
"224","Fazer atividades","Descrição_5","1","2021-12-17"
"225","Estudar Cálculo","Descrição_1","9","2021-12-10"
"226","Estudar Economia","Descrição_4","6","2021-12-14"
"227","Estudar Economia","Descrição_4","3","2021-12-10"
"228","Estudar Economia","Descrição_4","9","2021-12-10"
"229","Estudar Cálculo","Descrição_1","10","2021-12-02"
"230","Estudar Linguagens de Programação","Descrição_2","8","2021-12-16"
"231","Praticar exercícios físicos","Descrição_3","4","2021-12-15"
"232","Estudar Economia","Descrição_4","3","2021-12-23"
"233","Estudar Cálculo","Descrição_1","4","2021-12-14"
"234","Fazer atividades","Descrição_5","5","2021-12-25"
"235","Fazer atividades","Descrição_5","2","2021-12-12"
"236","Estudar Linguagens de Programação","Descrição_2","3","2021-12-19"
"237","Estudar Economia","Descrição_4","7","2021-12-07"
"238","Praticar exercícios físicos","Descrição_3","1","2021-12-07"
"239","Estudar Cálculo","Descrição_1","3","2021-12-20"
"240","Estudar Cálculo","Descrição_1","7","2021-12-05"
"241","Estudar Cálculo","Descrição_1","10","2021-12-13"
"242","Estudar Economia","Descrição_4","8","2021-12-19"
"243","Praticar exercícios físicos","Descrição_3","5","2021-12-02"
"244","Estudar Cálculo","Descrição_1","1","2021-12-14"
"245","Estudar Linguagens de Programação","Descrição_2","2","2021-12-18"
"246","Estudar Linguagens de Programação","Descrição_2","2","2021-12-08"
"247","Praticar exercícios físicos","Descrição_3","8","2021-12-21"
"248","Praticar exercícios físicos","Descrição_3","10","2021-12-17"
"249","Estudar Linguagens de Programação","Descrição_2","8","2021-12-01"
"250","Fazer atividades","Descrição_5","8","2021-12-24"
"251","Estudar Cálculo","Descrição_1","7","2021-12-30"
"252","Estudar Economia","Descrição_4","2","2021-12-04"
"253","Estudar Cálculo","Descrição_1","3","2021-12-23"
"254","Praticar exercícios físicos","Descrição_3","4","2021-12-10"
"255","Estudar Cálculo","Descrição_1","6","2021-12-04"
"256","Praticar exercícios físicos","Descrição_3","5","2021-12-02"
"257","Praticar exercícios físicos","Descrição_3","6","2021-12-28"
"258","Estudar Linguagens de Programação","Descrição_2","6","2021-12-05"
"259","Praticar exercícios físicos","Descrição_3","1","2021-12-24"
"260","Praticar exercícios físicos","Descrição_3","8","2021-12-30"
"261","Fazer atividades","Descrição_5","9","2021-12-12"
"262","Fazer atividades","Descrição_5","3","2021-12-29"
"263","Fazer atividades","Descrição_5","5","2021-12-18"
"264","Estudar Linguagens de Programação","Descrição_2","9","2021-12-11"
"265","Estudar Linguagens de Programação","Descrição_2","7","2021-12-02"
"266","Estudar Cálculo","Descrição_1","1","2021-12-20"
"267","Estudar Linguagens de Programação","Descrição_2","4","2021-12-04"
"268","Estudar Economia","Descrição_4","2","2021-12-10"
"269","Estudar Economia","Descrição_4","2","2021-12-18"
"270","Praticar exercícios físicos","Descrição_3","9","2021-12-21"
"271","Estudar Cálculo","Descrição_1","7","2021-12-09"
"272","Estudar Cálculo","Descrição_1","7","2021-12-20"
"273","Estudar Cálculo","Descrição_1","1","2021-12-20"
"274","Estudar Cálculo","Descrição_1","10","2021-12-06"
"275","Estudar Linguagens de Programação","Descrição_2","6","2021-12-26"
"276","Praticar exercícios físicos","Descrição_3","3","2021-12-01"
"277","Estudar Linguagens de Programação","Descrição_2","1","2021-12-16"
"278","Estudar Linguagens de Programação","Descrição_2","7","2021-12-21"
"279","Estudar Cálculo","Descrição_1","9","2021-12-08"
"280","Praticar exercícios físicos","Descrição_3","3","2021-12-10"
"281","Fazer atividades","Descrição_5","5","2021-12-11"
"282","Fazer atividades","Descrição_5","6","2021-12-13"
"283","Estudar Linguagens de Programação","Descrição_2","1","2021-12-30"
"284","Estudar Linguagens de Programação","Descrição_2","5","2021-12-23"
"285","Estudar Linguagens de Programação","Descrição_2","1","2021-12-23"
"286","Estudar Economia","Descrição_4","2","2021-12-30"
"287","Estudar Economia","Descrição_4","10","2021-12-18"
"288","Estudar Cálculo","Descrição_1","5","2021-12-27"
"289","Estudar Linguagens de Programação","Descrição_2","4","2021-12-17"
"290","Estudar Cálculo","Descrição_1","4","2021-12-17"
"291","Praticar exercícios físicos","Descrição_3","1","2021-12-21"
"292","Estudar Linguagens de Programação","Descrição_2","3","2021-12-07"
"293","Estudar Economia","Descrição_4","10","2021-12-03"
"294","Estudar Cálculo","Descrição_1","4","2021-12-13"
"295","Praticar exercícios físicos","Descrição_3","5","2021-12-06"
"296","Praticar exercícios físicos","Descrição_3","5","2021-12-05"
"297","Estudar Cálculo","Descrição_1","6","2021-12-27"
"298","Estudar Cálculo","Descrição_1","4","2021-12-26"
"299","Estudar Cálculo","Descrição_1","3","2021-12-14"
"300","Estudar Linguagens de Programação","Descrição_2","2","2021-12-29"
"301","Estudar Cálculo","Descrição_1","4","2021-12-26"
"302","Praticar exercícios físicos","Descrição_3","2","2021-12-25"
"303","Praticar exercícios físicos","Descrição_3","2","2021-12-25"
"304","Estudar Economia","Descrição_4","10","2021-12-18"
"305","Estudar Cálculo","Descrição_1","10","2021-12-11"
"306","Praticar exercícios físicos","Descrição_3","6","2021-12-26"
"307","Estudar Economia","Descrição_4","8","2021-12-29"
"308","Estudar Cálculo","Descrição_1","10","2021-12-12"
"309","Estudar Cálculo","Descrição_1","8","2021-12-25"
"310","Estudar Linguagens de Programação","Descrição_2","7","2021-12-18"
"311","Estudar Economia","Descrição_4","3","2021-12-25"
"312","Praticar exercícios físicos","Descrição_3","1","2021-12-20"
"313","Praticar exercícios físicos","Descrição_3","1","2021-12-10"
"314","Estudar Linguagens de Programação","Descrição_2","3","2021-12-11"
"315","Praticar exercícios físicos","Descrição_3","4","2021-12-07"
